word	freq
रामचन्द्र	113
सम्पत्ति	113
७७	113
जेठ	112
पुरस्कार	112
शाहले	112
सहित	112
४००	112
गएको	111
प्रदेशसभा	111
मार्च	111
राज्यको	111
विभाग	111
होटल	111
असर	110
निगम	110
नियन्त्रण	110
पर्ने	110
फेला	110
मध्ये	110
महासंघका	110
यस्ता	110
राखेको	110
वर्तमान	110
खेलाडीले	109
निर्धारित	109
भण्डारीले	109
भ्रमणका	109
वडा	109
सामेल	109
उद्देश्यले	108
ऐन	108
कदम	108
कम्पनीका	108
काठमाडौँमा	108
जिल्लामा	108
तपाईं	108
देखिएको	108
प्रतियोगिताको	108
प्रदेशको	108
बढाउन	108
मतदान	108
यसका	108
लिएर	108
४५	108
कुशल	107
जो	107
निर्यात	107
निवेदन	107
प्रश्न	106
फिल्म	106
रेकर्ड	106
सुरक्षित	106
२०१८	106
३२	106
अभियान	105
अस्वीकार	105
आरोपमा	105
औपचारिक	105
गरिसकेको	105
संसद्	105
साफ	105
से	105
स्वीकृत	105
पर्याप्त	104
बी	104
अखिल	103
उपचार	103
कानून	103
खेलकूद	103
गतेदेखि	103
गुजरात	103
देशको	103
नियम	103
भवन	103
मोबाइल	103
लगाइएको	103
वर्षीया	103
सदस्यीय	103
समीक्षा	103
सम्मेलनमा	103
आफूलाई	102
आह्वान	102
उड्डयन	102
कार्य	102
केन्द्रित	102
चाँडै	102
जितेका	102
पाउने	102
फोन	102
विकेटले	102
वैदेशिक	102
सम्बन्धमा	102
खाना	101
बक्यौता	101
बजेटमा	101
मेट्रो	101
असोज	100
केपी	100
घरमा	100
डिग्री	100
ध्यानमा	100
नं	100
चीन	99
जान	99
द्वारा	99
प्रणाली	99
प्रतिनिधित्व	99
भर्ना	99
लगाएका	99
स्वदेश	99
कडा	98
निगमका	98
मतगणना	98
मेडिकल	98
लगातार	98
सहज	98
सेप्टेम्बर	98
हात	98
हालसम्म	98
कार्कीले	97
खेल्ने	97
गरिन्	97
जग्गा	97
जवाफमा	97
टोलीलाई	97
न्यूनतम	97
परराष्ट्र	97
पहिचान	97
प्रदेशमा	97
बजेदेखि	97
महिनाको	97
रद्द	97
समर्थन	97
समितिका	97
सम्पर्क	97
सुरुमा	97
ः३०	96
गराउने	96
ट्राफिक	96
नेतृत्वमा	96
प्रहरीका	96
फरक	96
मन्त्रालय	96
रेल	96
सम्मान	96
अरब	95
आयोगका	95
कार्यालयका	95
दिनमा	95
परिषद्	95
विचार	95
संस्कृति	95
सेमिफाइनलमा	95
हिरासतमा	95
९०	95
अनुरोध	94
थापाले	94
राज्यका	94
विद्यार्थी	94
सुविधा	94
हुँदा	94
गरिएका	93
निरन्तर	93
पुगेका	93
बताउनुभयो	93
भेटमा	93
मद्दत	93
रिपोर्ट	93
विजेता	93
व्यावसायिक	93
सम्पूर्ण	93
७५	93
खेल्न	92
गर्नुभयो	92
घटेर	92
चौथो	92
डिजेल	92
नक्कली	92
निर्माणका	92
बोर्ड	92
व्यक्ति	92
सकिने	92
अजित	91
अधिकारीका	91
कम्पनीको	91
खेलाडीलाई	91
घटना	91
दशमलव	91
पाएको	91
मिनेट	91
अनलाइन	90
क्लब	90
खारेज	90
जनताको	90
बढेर	90
मिटर	90
मूल्यमा	90
सँग	90
संसद्को	90
सङ्कलन	90
समारोहमा	90
स्वीकृति	90
अस्पताल	89
क्षति	89
गराउन	89
घरेलु	89
जनाको	89
दशरथ	89
द्विपक्षीय	89
नेतृत्वको	89
पदार्थको	89
पौडेल	89
बीचमा	89
बीमा	89
संकलन	89
हारेर	89
३६	89
आप	88
गरिन्छ	88
जसको	88
टन	88
टिकट	88
दिलाएका	88
निर्वाचनको	88
पुग्ने	88
बोर्डले	88
भइसकेको	88
भाडा	88
भिडियो	88
वर्षका	88
३४	88
असफल	87
प्रस्तावित	87
बीच	87
मिति	87
विदेश	87
विपक्षी	87
विभागको	87
सिट	87
अपराध	86
इमिरेट्स	86
क्रमशः	86
नगर्ने	86
बलियो	86
भएकोमा	86
यसमा	86
०००	86
आधारित	85
किया	85
गम्भीर	85
जडान	85
जलविद्युत्	85
झरेको	85
पुणे	85
प्रजातन्त्र	85
महानगरपालिकाको	85
यसबाहेक	85
ल्याउन	85
सरकारसँग	85
हिस्सा	85
४२	85
गुमाएर	84
नहुने	84
न्याय	84
साझा	84
७६	84
कक्षा	83
गृह	83
देउवाले	83
प्रमाणपत्र	83
बढ्दो	83
बोलाइएको	83
रनमा	83
रनले	83
राज्यमा	83
विषय	83
समयदेखि	83
एशियाली	82
घाटा	82
चरणको	82
जुलाई	82
पुस	82
महासङ्घका	82
विकासका	82
विज्ञान	82
सचिवालयले	82
२०१७	82
आधिकारिक	81
आयुक्त	81
उसले	81
कम्तीमा	81
किसान	81
गठबन्धनका	81
गराएका	81
घण्टा	81
पेट्रोल	81
बताएकी	81
महसुस	81
लाइन	81
विद्यालय	81
विराटनगर	81
सुपर	81
३९	81
अध्यक्षमा	80
आयोगको	80
उनीहरुले	80
कर्मचारी	80
गतेसम्म	80
घटनाको	80
देश	80
लेखेका	80
संस्था	80
सिरिज	80
स्वीकार	80
हाम्रा	80
आ	79
इजलासले	79
गर्नेछौं	79
पाकिस्तान	79
प्राधिकरण	79
बताउँछन्	79
रिक्त	79
३७	79
आयोजक	78
खेलाडीको	78
गर्दछौं	78
चौधरी	78
जहाज	78
तापक्रम	78
तोलामा	78
दर	78
प्रतिक्रिया	78
फेरि	78
माघ	78
मोहम्मद	78
यादवले	78
राहत	78
३३	78
अनुदान	77
आवश्यकता	77
उचित	77
एसियन	77
कार्यसूची	77
गया	77
ग्लोबल	77
जिल्लाको	77
जीवन	77
नसकेको	77
पक्षमा	77
प्रहार	77
भ्रमणमा	77
मन्त्रालयमा	77
मैत्रीपूर्ण	77
राखेका	77
लगाउन	77
लाइसेन्स	77
शाह	77
हस्तान्तरण	77
अधिकारीहरू	76
अन्त्य	76
उद्धार	76
केवल	76
गराएको	76
घाइते	76
टोलीमा	76
निलम्बन	76
प्राधिकरणका	76
महाराष्ट्र	76
मौसम	76
रहनुभएका	76
रोक	76
लाग्छ	76
वाग्मती	76
सकारात्मक	76
सक्छन्	76
५५	76
कार्यरत	75
गठबन्धन	75
थापा	75
निगमको	75
प्रमुखमा	75
भेट	75
मानव	75
